archivo,tema,fuente,url_original,licencia,autor,descargada,procesada,ancho_original,alto_original,avif_kb,webp_kb,url_publica,aviso
como-funciona-la-gravedad.avif,como-funciona-la-gravedad,Aportada por Pablo (origen sin confirmar),,PENDIENTE,PENDIENTE,2026-08-28,2026-08-28,5000,5000,193,449,,
por-que-bostezamos.avif,por-que-bostezamos,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Tabby_cat-yawning-01.jpg,CC BY-SA 2.0,Jenny Downing (Flickr),2026-08-28,2026-08-28,1920,2891,182,277,,
por-que-llueve.avif,por-que-llueve,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Rain_Droplets.jpg,CC BY-SA 4.0,Tony5875,2026-08-28,2026-08-28,1920,1440,280,348,,original de solo 810 px útiles de ancho
por-que-vuelan-los-aviones.avif,por-que-vuelan-los-aviones,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Patrouille_de_France_Radom_3_1.JPG,Attribution,Łukasz Golowanow (User:Airwolf),2026-08-28,2026-08-28,1920,2286,104,162,,original de solo 1286 px útiles de ancho
sol-dos-relojes.avif,sol-dos-relojes,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Solar_Orbiter%E2%80%99s_widest_high-res_view_of_the_Sun_ESA508430.jpg,CC BY-SA 3.0 igo,Agencia Espacial Europea (ESA),2026-08-28,2026-08-28,3840,3840,152,201,,
